,Score,Sentiment
86,4,Just finished setting up a TeamCity server at home for my hobby projects. How nerdy is that? 
87,4,Totally sunny day! Luuuuvz it 
88,4,@aka_candy Ooooh yes they are.... 
89,4,@TaneshaD i'm glad you came thru 
90,0,@KT_93 :O As stephanie tanner would say &quot;How rude?!&quot; :O 
91,4,"@smagmueller What, 1st Friday? We went for about 5 min. Saw @secamode and @emilyakins "
92,0,"oops! Thank you! @snackiepoo @CFitz - incidentally, there is no @DishChickCarolyn on twitter. It's too many letters for a name on twitter "
93,0,Headed to the Beach for my last full day on the sun... 
94,0,family can really annoy me sometimes 
95,4,Twittering through my cell phone 
96,4,@DerrenLitten have a great last day! Hope you're still gonna tweet when you're back home! 
97,0,The thunderstorm interrupted my walk! Wish we don't have global warming &amp; the freak weather. It's not good for my walkies 
98,4,@shaycarl Hey!!!!!! 
99,0,its shower time. and i wish the hubzz was here to go in wit me  he knows just how much shampoo n conditioner to use on my hait
100,4,"http://www.friendster.com/105866347 -pls. add that one. All Ashley fans, welcome.  [she just told me to advertise.. hehe..]"
101,4,"Bonded with the new roommates tonight, using my special combo of Rock Band-singing, Taboo-playing, and muffin-baking skills "
102,4,panera with the homies. 
103,4,rt @souljaboytellem Whatever I twitt today will show across MTV during the Awards. Hmmmm 
104,0,I've just discovered that I am a PSE imbecile. Took me hours to figure out simple watermarking.  How long to do more complex stuff? WAHH! 
105,4,"@iamdeen summer is lovely. about to leave to Australia, so I'm excited "
106,0,"@ckk121657 yeah, a client of mine already told me how it ends "
107,0,I hate pictures. That's why I'm always the one taking them . Much to the disagreement of Jack who is a photo diva. None of me in Hawaii 
108,4,@LuceyLouB I think i'm falling in love with you!!  xxx #iloveyou
109,0,Sitting at home. Don't feel well and can't sleep 
110,0,Not feeling GOOD!! 
111,4,bep UK number 1! boom boom pow. Will.i.am is a nutter 
112,4,"@TheresaK1 I bet you'll be done with them all by the time you get back from the beach, then.  I had a hard time with New Moon,"
113,4,sitting on the couch...music...coffee.. P E R F E K T ! 
114,0,Watching David Cook on VH1...where is DCO??? 
115,0,My sister just left. She's going back to Austria 
116,0,Morning recovery wasn't all that bad now I'm out shoppin but I can't shop  I need to work some more
117,4,life definately put a smile on my facr tonite 
118,0,Omg. I can feel his heart breaking.  .......i am way too into this right now. Lol
119,0,"@CherylH77 You don't have to tell me that twice!! My local IGA sells them, at the counter, and it's so hard to walk past them.. "
120,4,@jamarie  Love the french word! 
121,0,@Robertashley Fuck man! I don't even want to listen to the next one now 
122,0,@NB82 lol nope im housebound all wk til friday  then the weather changes  im hopin it holds out got Summer Ball on the Thames nxt monday
123,4,Article on 529s. Just keep putting a little away and pay for A's and B's  http://bit.ly/yqc5d
124,0,"There is a problem with #Steam Community  , could be the servers. I'll have a go on the Left4dead modding tool"
125,4,Smiling... for no particular reason 
126,4,played some cs with my friends . now it's time fo' music 
127,0,have a little accident 
128,4,had a GREAT day  i LOVE going on DATES!!! first final tomorrow... yay!!!
129,4,another well started day but now it's even rainy 
130,0,life is crapy... i'm going to me alone on my birthday... i want to do something 
131,4,'bout to start my weekend - for a few hours at least until tomorrow 
132,0,Is fixin to get up and ready to go to Odessa to spend to with the family! Still alittle under the weather 
133,0,@zulukcult jealous! i wanna hang too 
134,4,@sweetroni OOH WEE! T00 FUNNY. I THINK I'M WOKE NOW! 
135,0,i have to go  bye bye tweets
136,4,@lufdxb lunch will be tasty 
137,4,"@ResPres BTW Meant to tell you earlier, sweet shirt, to wear Afflication/UFC shirts, still waiting on my cool card to get auth to wear "
138,0,Feels like he has no life 
139,4,@trent_reznor it makes really glad to hear that you're mighty fine  big hugs and thx from Mexico
140,4,Off to work 
141,4,@CarinaK that is truly funny &amp; sad at the same time 
142,4,@IamCROS1 I believe so..see you in a bit 
143,0,Someone in UNITED STATES didn't like Green Terror http://www.smartestgames.com/gotd.php 
144,0,@Alyssa_Milano sorry new to twitter replied to loads of peeps noone replies back  I think u might though as you seem 2 b supportive x
145,0,moving my yahoo360  blogs to a new location.  they'll be closing down 360 by july.  
146,0,So bored 
147,4,"@AKAdemic07 NO, I'm not letting it go.    all in love though.  ha ha"
148,0,"@denyreligion I can only feel total disgust with that 'mother'... I am speechless, truly "
149,0,dad's posting got postponed ONE HOUR before he was meant to leave. either going to afganistan or NOWHERE. i'm sorta happy  but he's gutted
150,4,Make me your Michelle and put your Barack in me! 
151,4,@yosit Joya Hertzelia - ahhh... the memories.... 
152,4,I'm giving up drinking and I am really excited about it 
153,4,Just watched gran torino.. Well i watched 20 minutes of gran torino  its amazing! I cried my face off!!
154,0,Does TweetDeck not minimize to the tray?   Perhaps I should go back to twhirl...
155,0,@KevinDurant35 beside Orlando losing the game  thinking about my nxt business move
156,4,@iLoveColbyO best way to do it...hehe...i like extra meat sauce and extra cheese 
157,0,@carmenvictoria1 i would LOVE to drive through the south... it's such a massive place 2 months is just not enough time to see everything! 
158,4,"I'm bad at math, so the equation 2n+2n is 4n to me.   #1liners"
159,0,fighting a nap. need mtn dew 
160,4,2.46.98  LOLZ  gonna have dinner now  i think :S HAHA ;D ladida .
161,0,@FatherRoderick Where's Bishop Punt? 
162,4,@DavidArchie have you gotten to do any shopping over there? buy anything cool? 
163,0,My headphones just half-died on me 
164,4,"is thinking he's going to do lots of washing today, then watch Gilmore Girls tonight yay "
165,0,@Blazex3  My sunny day is starting to cloud up 
166,0,"@AliciaNie no worries darl, all my phones have gone mad, hose phone is dead and so my mobile "
167,4,http://twitpic.com/6a5zp - me and my granma 
168,0,@taylormonet23 you went live today .. and i was a no show 
169,0,waiting for today to be over!!! 
170,0,sitting on the couch lookin out at the rain  thats ireland 4 ya thou!!!!!!
171,0,sand from my bag on my redbull can  ergh i dont want sand in my mouth.
172,4,"@JohnnyDurham19 Cool video, Johnny! Advertise away, all your designs are awesome! I bought the new black one the other day. "
173,4,http://twitpic.com/5oz77 - Just for you 
174,4,"And @UNOlker got this great picture of 4 iPhones - guess which is mine?   http://twurl.nl/qws381 (No, really, you can tell for 2 reasons.)"
175,0,Wonders where all the calendar worthy firemen are 
176,4,@andybak it's all a cycle... give it enough years and the Squirrelmail design will be very trendy again 
177,0,@iplaycenter i know what you mean 
178,4,@DiznyPrincess yeah we can talk then. 
179,0,"@GregorioLoco no sir, I think it might be because I overslept "
180,4,Just got Back home...had a great Getaway 
181,4,@verashni Hahaha! I love @sockington too! So cute 
182,0,morning tweets... on my way to work  it is so cold in oz !!
183,0,Forgot what it was like to have 100 degree weather every day... no fun sweating to death on our evening bike rides... ugh 
184,4,New Here 
185,4,@ItsJustDi we'll start in a Cessna and see how it goes 
186,0,@staceyi awww i missed it  twitpic? 
187,4,@ElizabethThe How'd you get free tickets? Are you using your Scene card?? 
188,4,So excited for @ThisisRobThomas in the Mix96.9 Studio 
189,4,"@xCarCrashHearts cool, about time they came "
190,4,injected with office coffee 
191,0,"@doncarey sux cuz when i last saw you i wuz like.. eh, ill see him again so ill tell him &quot;good luck &amp; have fun&quot; later. but  so good luck!!"
192,0,Boredd out of my mind 
193,4,@AdCharlie good song 
194,0,Where are all my tweeps? Is that what you guys are called? Tweeps? I'm stuck in traffic and need something to do but noone is tweeting. 
195,4,"@opeckojo it really turned out to be a great day, at least at the moment. Blue sky and sunny "
196,0,@GrouchoDuke i'm not doing that party 
197,0,hate to say this cause i love @marthastewart 1 bowl chocolate but those coconut cupcakes kinda suck (p29). a waste of time and resources. 
198,4,"#lions pt per min but cheetahs getting back into this, thanks Ferris another bet buster "
199,4,@Di_McD Yes! Very good eye! You're not happy with that? *asking* 
200,0,I had like the best dream everrr. Now I have to get ready for school 
201,0,"@jennynh16 If you change the time on your computer, then yes, it will be Friday.  Otherwise, nope "
202,0,damn! got caught eating my Cadbury Temptations by the brother. Last 6 pieces gone  will get Bournville next time. u have to earn it!
203,0,too sick to blog today in http://www.fashionlimbo.com/  off to the doctors in an hour!
204,4,@Rebekah_McFly Yeah it's been good  all my presents were to do with mcfly :p xxxx
205,0,I wish @Kimone_ishere was coming out tonight 
206,0,can i just go back to sleep? 
207,0,@halliew I've been trying - I think I actually aggravated it further with a dumb move 
208,4,"Good morning, Twitterverse! "
209,4,5-18...not as exciting as 5-29...but we're getting closer 
210,0,Just threw away my bouquet. 
211,4,wanting to do some ghost hunting 
212,4,@BigDaws Acer Aspire One (8gb ssd) in a fetching blue hue.  Installed Ubuntu netbook remix and its exactly what I hoped it would be. 
213,0,"This is too boring, especially with nobody to talk to "
214,0,"I should be in bed, but I can't sleep again. "
215,4,"done with homework, and i feel lighter already. "
216,0,i'm super hungry. where's dinner.? 
217,4,"@heidimontag its almost midnight here, and I went to Disney On Ice today... It was pure happiness  Have an awesome sunday, Heidi!"
218,0,WTF is a runway issue? boo at delayed flight 
219,0,@GrrrlsOnMDMA I know.  Think of beautiful things such as love and flowers and rainbows and butterflies! Another 5 mins. of bliss!
220,4,@MissDemeanour1 KAPOW!! wow thats good 
221,0,gotta work early tonight 
222,0,@bigolpoofter I see that my stream of consciousness isn't the only one that needs a dam...Now I have &quot;Can't Touch This&quot; stuck in my head. 
223,0,@shanepbrowne I know! I always debate when I write your name whether to add an e or not coz I never remember! Sorry 
224,4,@mcafee15 just got reminded of how great you look in your blue and white sweater...  kinda think she's //wrists atm lol
225,0,@teexnuhh noo I wish 
226,4,Anyone wants to go on a ride with me up St. Peter side?  Gotta drop off my sax at my old school  
227,0,"I'm watching the &quot;Welcome To my Home&quot; parodies off my portable hard drive. I don't have any links for these, they're always taken down. "
228,0,Didn't sleep at all. can't stand that he doesn't even notice me. This is unbearable. 
229,4,SO proud of the Billy Elliot cast and crew! Way to go David Alvarez! 
230,4,@formerfatguy All the more reason for my super summer. BUT OF COURSE I will continue everything after the summer. This is no fad! 
231,0,@Neekatron gross 
232,4,@shan1392 Acha well I'm sure this isn't the best place to reveal your secret. *-). It's okay. 
233,0,"@Super_Ariel Not me  Good idea, though. Good luck finding your Hannah!"
234,0,Strawberry fest with sarah OMG sooooo much fun 2 bad 2day is soooo busy that i cant appriciate it 
235,4,curiosity got the better of me - am googling WHAT IS WICCA. am suddenly interested.. GOOGLE FOR PRESIDENT - coz its a lifesaveer! 
236,4,"Okay, I have had my occasional rant. I'm sorry for the noise it created. Sorry. *hugs* love ya Tweeps!  sorry, ok? Still, #TwitterFonPwns!"
237,0,@JoeTheDough its running along some type of nerve my doctor said   He said something about loss of sensation on the left side of my body.
238,4,@deedelara saw you too! It was great. Hope you got back to Uhmerica ok 
239,0,hotmail is not working 
240,0,good morning!  closer and closer to *normal*.  ya-hoo!  got errands to run though...taking my sicko machine to the doc.  
241,0,no more rain 
242,4,Hanging out with my friend 
243,4,@aaronlafferty UNLESS.... Unless Liam Neeson regularly walks around in costume. Then maybe it WAS the 'real' Qui-Gon Jinn. 
244,4,"i'm on a boat, i'm on a boat, take a good hard look at the mother f*ing boat "
245,0,Still no recent sighting of Nessie 
246,4,"Trying this twitter thing out. Facebook is finally a routine for me, now i need to figure out how to do the twitter thing "
247,4,"http://twitpic.com/4gpmo - Introducing Officer Flowers...Was commissioned May 1st, 2nd Lt "
248,0,Wish I could smoke at home! 
249,4,@gregorybodnar pretty cool huh? And yes- we live just round the corner from it so get to quite a lot 
250,0,"@JamesinIT  so sad, but you have something that will bring you much more joy in your future!"
251,4,"I love water like seriously,   cant live without out it babyy"
252,0,"@urkillingme you are talking about me, aren't you?  just say it.  I'll leave.  "
253,0,But too bad Adrian had to crash when he had just 6 more laps to go   He was so close to getting some points on his plate.
254,4,"Barry  signs for 12m...110K a week, 5 year deal  (The Sun)  Great signing! ...http://twurl.nl/clapx6"
255,4,@karinb_za thank u that is the nicest thing that has been said to me all week 
256,4,I got the Memoir for T-Mobile - text me! 8017392351 
257,4,@bkenny congratulations!! champers at lunch!! 
258,0,"oh no, my throat is starting to hurt  and im coughing! please just be the dust bunnies in this room!"
259,0,hates life.  Guess I'm back to searching for schools out of Indiana.  Lost my reason to stay.  
260,0,Omg craziness in my life and in my friends'. 
261,0,So tired...   http://myloc.me/4jaa
262,0,There was no monkey yesterday!  So disappointed 
263,4,@simbaaa @mahimaaa SORRY! I couldn't help it. 'Twas to try and get if on the trending topics. 
264,0,"@DonP it really does work that way, have had it happen many times.   On the other hand, we've kept the universal balance in place, go us!"
265,0,says Expired credit ku.  http://plurk.com/p/11h7ok
266,0,"My back is killinggg me  eff muscle spasms. One more night of closing tomorrow, then I get a day to relax thankfully."
267,0,"nude pictures of rihanna leaked.  poor girl. she's not having a good year. oh, and creepers, ftl. trufax."
268,0,FARK. i just completely broke my desk  ooopps!
269,0,@BethuleMaeve...no bueno   Hope it's nothing serious.....probably just congestion brought on by ur allergies.....?  [big hug]
270,0,@RopeMarksMuse Yes right next to the one of my dentist 
271,4,@rviswana Doesn't it make them (Bing and Google) synonyms? 
272,0,"@msawful i know, depressing  but at least you get to work with your climbing frame on top of a climbing frame!"
273,0,I cant create groups in tweetdeck   I follow too many people and it crashes the program
274,4,@POOHFEET kay I will 
275,4,Finished off roading..driving muddied rover back to 'sha listening to the new dylan album on a gorgeous sunday afternoon 
276,0,Expensive revisit to my old A'dam neighbourhood..Eur 60 parking fine... i only wanted to support the local economy.. 
277,4,"early morning, listening to the getup kids anthology, drinking fresh coffee, rain outside. life is really great "
278,0,Areee no voe a ir.. 
279,0,starting to get a cold... 
280,4,@annTRS you win. 
281,0,Damn it! I took a nap that lasted like 3 hours longer than I planned on... now I'll never fall asleep later! 
282,0,RIP Desiree 
283,4,@McNary I referenced the Dave Ramsey Show   I am following them.
284,4,@minniemousee SUREEEEEEE. Isn't it such a hassle to clean your contacts all the time? Plus our small eyes are a rarity! 
285,4,@gabebondoc Watching you on Blogtv nowww!  You were greatttt!
286,4,@meegiemoo Happiness is your friend meegie loaning you Season 4 of Buffy....?? 
287,4,waiting for JONAS to come on 
288,4,@Pink I`m looking forward too see and hear you in Norway!! Live fast! 
289,4,@AlexAllTimeLow I'd do the scratch thing for sure  plus the new song is absolutely awesome. thank you. thank you for everything 
290,0,@echcon 1 thÃ¡ng cháº¯c cÅ©ng cÃ³ táº­p ÄÆ°á»£c ... 1 tuáº§n 
291,4,"Radio this morning: The Idea Exchange in Wisconsin, and The Frankie Boyer Show in Boston. "
292,4,"@__cara sounds like a hoot! HAHAHA! No, just kidding...    "
293,4,@kaylagoesroarrr omg i love you so much best friend!!!!!!!! i had fuckin fun too! haha!  GOOD TIMES! we have to do that more :]
294,4,"Video: The Dark Knight, 1960s version  http://tumblr.com/xcm1yw2r9"
295,4,"@Asbo_T Lol, FB and Twitter versions of the same message! @davegarnar just finds me moderately amusing occasionally "
296,0,emotional 
297,4,says just drop your love at my fs. gonna sleep. kinda crazy to update ypu all.  http://plurk.com/p/113deg
298,4,happily stayed in bed until one today. 
299,4,Just finished 'Sleepless in Seattle'.  It always puts a smile on my face 
300,0,wants to sleep.but its wayy tooooo hot 
301,0,@mitchelmusso  i can't call you im from Mexico and i don't know the code 
302,0,@shellmccready my devil horns dont flash though 
303,0,It bums me out when Restaurants have Daily menu changes but don't provide that info on line 
304,0,@Rove1974 Good show tonight Rove.. Does your show air in the States? i am moving there next month but I don't want to miss out 
305,0,@danie1727 i miss you 
306,4,@Vanessa_91 I'm doing great too. Our classes were suspended today 
307,4,Last night was incredible hoping for a repeat tonight 
308,4,"@B_Shel You can find the score of any game by texting Google (46645) and saying &quot;Score [team]&quot;  It's free, and you don't need internet."
309,4,what a great afternoon  stoked for walt's bday party tonight.
310,0,"Ewww, just found out Brazil was a trending topic for a stupid reason  #squarespace"
311,0,@violetOS In case &quot;testing&quot; means that this bytecode is already pushed to our rabbits &gt; None of my radios work anymore  #nabaztag #fail
312,4,outdoors  with MKFV  let's make partyyy  LdÃ¼a.â¥
313,4,Of course I'll be your cuddle buddy  whenever you want! Hit me up tomorrow! @lo_blomlie
314,4,"I am at home, waiting to get to work.. "
315,4,@LindaGranillo Got my MPPB today!! Sucks that I can't do a vid.... We'll figure something out for this month! 
316,4,"Just got home, walking under the bright moon light. Wish u were here.. "
317,4,@terrideboer cool... email your Matt pics to newsroom@woodtv.com  
318,0,"I'm calling off, I feel like my head is going to explode "
319,0,"Foo, I'm missing VelocityConf "
320,4,@Ruddster Ever think about moving? Move to town. 
321,0,what just happened on MTV....why would they do that 2 eminem....? That was dead wrong!   
322,4,Im outta gum but with statements like that I can tell you are a very smart man @BLUESBOOGIE  ? http://blip.fm/~4mfls
323,0,Another beautiful rainy day in NY sigh 
324,4,Dominic needs to sign my yearbook! D:  And allie! 
325,0,is lagging through a Saturday night  http://plurk.com/p/12k4qs
326,4,could that be number three sold? oooh I'm like a real artist now 
327,4,Feeling very artistic and creative. Let's go take some pictures! 
328,4,Takin Sky on his first hike...Old Man's Cave 
329,0,i'm really enjoying the hot sun in my wonderful garden. BUT there's a child in the neighborhood who plays on the flute. it's horrible 
330,4,@trvsbrkr The Simpsons 
331,4,Wow- I just slept in till 9 
332,4,I love my Vicky- such a good friend! 
333,4,Enjoying chocolate pudding cake from jess 
334,0,@danii_elle grrrrrrrrrrrrrr i know me to...i keep trying to fix it then throwing it in anger when i can't fix it hahaha  xx
335,4,"@alanwhelan Hey Alan, cheers for following! Hope all is well in Trocaire.ie "
336,0,@Liv76  you are replacing me!
337,4,going wedding dress shopping for a friend today....remind me if I ever get married that I said no frilly dresses for me 
338,4,@gandhineha u wc  was thinking for good topic and finally.... 
339,0,"Wow, sudden Pushing Daisies episode with Gina Torres and Robert Picardo. Awesome! Too bad show was cancelled. "
340,4,@yayKIMO hey kimo...do u watch soccer???usa is playing right now with italy 
341,4,@Sapnene yeah Sapna... you've got a point there... 
342,0,Im bleeding somewhere i shouldnt be D: im scared. Secret time: never have anal 
343,4,@Ale_BSB You're welcome! Lets do this #BSB 
344,0,@adhitiasofyan good 4u. I can only did it for 2 days 
345,0,Today is like a million times exhausting. Im ready to take a nap on checklane 7. 
346,0,a bird pooped on me today 
347,0,@THCanada I'm not allowed to   My mom would have a cow if I wore a shirt like that o_0
348,4,Getting to work on stuff.. But excited to go to @saeosu13 's graduation tonight!!  Good Luck to @rtiedemann6 for his 1st playoff game! 
349,0,"@ZucchiniBikini There was really only one person I was hoping to hang out with for even just a short time tonight, but he's unavailable. "
350,4,kick off your shoes and relax your feet 
351,0,"@lollipop_nana Yep, such a tease. Can't w8 4 d official trailer though. Thnx 4 askin. Stl havin ths stupid headache.  Enjoy ur day, Sandz!"
352,4,@hsubidooby  no class for the next whole month now la..exam period no class one..and sem 1 ended ready 
353,0,"Uhoh, laptop problem: I re-attached and closed the battery/hard drive cover, and now there's a gap and a bulge, but it closes completely. "
354,0,Most of my friends still think Twitter's only a platform for status updates. I feel sad for them.. 
355,0,@woodland_faerie Ummm I just realized I haven't recieved a text since I got the new phone. No one has gotten any of mine either. Ugh. 
356,0,eat. puke. sleep. puke. breathe. puke. not ok. 
357,0,Living on the edge right now 
358,0,"im contemplating booking a flight to LA, renting a car and making my gf talk to me "
359,0,"@The_Katbot I felt the same throughout E3. &quot;You going to X's party?&quot; ... &quot;Uh, no  &quot; and that was that. Oh well."
360,4,@reemkanj Ummmm i want some! Bring your man some fish  plleeeaassseeee lol xxx
361,4,@chamcircuit so how was Up? 
362,4,"@Lynne90 I neeeed to come  haha, Just need to win these tickets lmao"
363,4,oh my. that was the most awesomest shower ever. clean clean cleannnn 
364,0,not looking forward to the drive to the cape tomorrow 
365,4,@Hicksdesign Can't wait to see it... I'm sure it will be great.. 
366,4,Hello ALL  How we doin this fine day! its so cold today 
367,0,@Pro_94JBIT I dont hv my own set ov drums! 
368,0,@bethdonald I'm at school still.  How did your diet go? I had a nectarine and some lettuce. (y)
369,0,So I guess no1 wants 2 come 2 Florida wit me in july? 
370,4,@chelsealately i love ur show! the roundtable is the best part of the show! 
371,4,@mattbritton make it so we can see ur awesome face Matt 
372,0,@GuyKawasaki I was hoping for more based on the title.  At least they could have show some video clips 
373,0,studying for my examz 
374,0,"I can't stop looking out the window, hoping to see her somewhere out there, hoping to see her running back "
375,0,Anyone else STILL having issues uploading new background photo?  I am stuck with plain pink now.  
376,4,all me and @corri11 have to say is.... Its the fuckin Catalina Wine Mixer!!! 
377,4,loves going shoe shopping 
378,0,"And of course I played Ultima ! But only part 3,4,5 "
379,0,"@MrCirce Yes you were, but it's not going well for me. Zimbra calendar &amp; contacts are gone.  Going to see sysadmin for help now. ("
380,0,"@lgesin You put that into words perfectly, I am the same way! So glad someone else in the world uses AI. I'm still learning flash "
381,4,"Everyone going to the hometown show is excited they get to go on Thames Street. I'M GONNA SEE THE ORIGINAL THAMES RIVER, BITCH. ohhhh. "
382,4,@TheRealJordin I can hear you snore at here haha  Just sleep sweetie.
383,0,"@TheBookResort - I am there with you. I have books coming out of my ears, but still purchase books on Amazon or at the eBook store. "
384,0,oh crap. I might be singing for a band pretty soon mah doing a cover of a song hopefully it will all work out just need 2 guitarists 
385,4,@hogletk and the kitchen? and the huge yard ? I wish I have huge noney to buy it 
386,4,"watching &quot;chopped&quot;. omg i love aar?n s?nchez. he's latin!!!!  for real, i love hispanic guys right now."
387,0,oh for goodness' sake. now being followed by 'britney sex tape'. am just going to shut up and go and do some work. 
388,0,"Wingstop, now n later frozen yogurt, a movie turned into a nap, and a long talk.. my last thursday w/ Babe for awhile "
389,4,"@LeighBC  Nope - no idea who that is   L5P: Vortex, a sushi place I've never been to, and chains @ Edgewood (RuSan, Figo, 5Guys, Shane's)"
390,0,@MuscleNerd  what about the preliminary Jailbreak release becoz we are stuked unactivated phone don't need youtube but fone
391,0,woodwork homework  hav to create a report on how i made a toolbox lol
392,4,@lilmellie71 me too!  I Love Ice Road Truckers... Sooo glad Alex is back  
393,0,@carmenoh @racheltovar o man i think she pumped too much 
394,0,@amalinaaa Aw that sucks.  xx
395,4,"so the Today show still hasn't gotten in touch with me, i wish they would so i can take my friends and myself to the NKOTB show "
396,4,Had a thoroughly nice day today in bury. Saw lots of pretty animals and flowers 
